External_Id__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__Rule__r.External_Id__c,SBQQ__RuleLookupObject__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__r.External_Id__c,SBQQ__TargetObject__c,SBQQ__Value__c,SBQQ__ValueField__c
EX-0230620,SBQQ__ListPrice__c,"(SBQQ__UpgradedSubscription__r.SBQQ__ListPrice__c)*IF(SBQQ__Quantity__c < SBQQ__PriorQuantity__c, -1, 1)",10,EX-000010,,,,Quote Line,,
EX-0230621,Configured_Package_Code_Override__c,,,EX-000006,,,,Quote Line,,SBQQ__ProductCode__c
EX-0230622,Configured_Package_Code_Override__c,"IF(SBQQ__ProductCode__c = ""NETNEW-WRAPPER"",
CASE(Package_Code_Number__c, 
1, ""NETNEW"",
2, ""NETNEW2"",
3, ""NETNEWG"",
4, ""NETNEWP"",
""ERROR""),

IF(SBQQ__ProductCode__c = ""NETNP-WRAPPER"",
CASE(Package_Code_Number__c, 
1, ""NETNEW"",
2, ""NETNEW2"",
3, ""NETNEWG"",
4, ""NETNEWP"",
""ERROR""),

CASE(Package_Code_Number__c, 
1, ""NETNEW"",
2, ""NETNEW2"",
3, ""NETNEWG"",
4, ""NETNEWP"",
""ERROR"")

))",,EX-000030,,,,Quote Line,,
EX-0230623,Horizon_License_Number__c,Parent_Horizon_License_Number__c,,EX-000029,,,,Quote Line,,
EX-0230624,SBQQ__ListPrice__c,"ROUND(
DCC_Geo_List_Price__c * 
IF(Project_Category_Multiplier__c = 0, 1, Project_Category_Multiplier__c) * 
IF(Project_Type_Multiplier__c = 0, 1, Project_Type_Multiplier__c) *
IF(Geo_Level_of_Detail_Multiplier__c = 0, 1, Geo_Level_of_Detail_Multiplier__c) *
IF(Project_Level_of_Detail_Multiplier__c = 0, 1, Project_Level_of_Detail_Multiplier__c) * 
History_or_Forecast_Multiplier__c 

, 0)",30,EX-000026,,,,Quote Line,,
EX-0230625,SBQQ__DiscountSchedule__c,,,EX-000011,,,,Quote Line,a5X3J0000000LqfUAE,
EX-0230626,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set DCC Multipliers""",100,EX-000013,,,,Quote Line,,
EX-0230627,SBQQ__DefaultSubscriptionTerm__c,"IF(ISBLANK(SBQQ__Quote__r.SBQQ__SubscriptionTerm__c), 
((SBQQ__EffectiveEndDate__c - SBQQ__EffectiveStartDate__c +1)/365 * 12),
SBQQ__Quote__r.SBQQ__SubscriptionTerm__c)",,EX-000014,,,,Quote Line,,
EX-0230628,Bluebook_Product_Count__c,,10,EX-000017,,,EX-000005,Quote,,
EX-0230629,SBQQ__ListPrice__c,"IF(SBQQ__ProductCode__c = ""IMSPUP"",11661,

IF(SBQQ__ProductCode__c = ""IMSPRP"", 2650,

IF(SBQQ__ProductCode__c = ""IMSPUPRP"",13195,

0)))",,EX-000009,,,,Quote Line,,
EX-0230630,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Billing Frequency Multiplier""",,EX-000012,,,,Quote Line,,
EX-0230631,Account__c,SBQQ__Quote__r.SBQQ__Account__c,20,EX-000022,,,,Quote Line,,
EX-0230632,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""BB Invoice Descriptions""",,EX-000028,,,,Quote Line,,
EX-0230632.50,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Clear vals""",10,EX-20230526.03,,,,Quote Line,,
EX-0230633,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Configured Package Code on Children""",,EX-000027,,,,Quote Line,,
EX-0230634,Configured_Package_Code_Override__c,SBQQ__RequiredBy__r.Configured_Package_Code__c,,EX-000027,,,,Quote Line,,
EX-0230635,DCC_Geo_List_Price__c,,50,EX-000025,,,,Quote Line,,SBQQ__ListPrice__c
EX-0230636,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""IMS Nationwide Pricing""",,EX-000009,,,,Quote Line,,
EX-0230637,Invoice_Description__c,"Invoice_Description__c &  
IF(ISBLANK(Geo__c) || TEXT(Geo__c) = ""Local/MSA"", """", BR() &  ""Geo: "" & Geo__c) &
IF(ISBLANK(TBB_Region__c), """", BR() & ""Region: "" & TBB_Region__c) & 
IF(ISBLANK(TBB_Class__c), """", BR() &""Class: "" &  TBB_Class__c) &

IF(ISBLANK(TBB_Regions__c), """", BR() & ""Region: "" & TBB_Regions__c) & 
IF(ISBLANK(TBB_Classes__c), """", BR() &""Class: "" &  TBB_Classes__c)",,EX-000028,,,,Quote Line,,
EX-0230638,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Configured Package Code on Parent""",,EX-000030,,,,Quote Line,,
EX-0230639,SBQQ__ListPrice__c,"DCC_Geo_List_Price__c * 

IF((Project_Type_Multiplier__c + Project_Category_Multiplier__c > 1) || (Project_Type_Multiplier__c + Project_Category_Multiplier__c = 0), 1, 
Project_Type_Multiplier__c + Project_Category_Multiplier__c)",,EX-000021,,,,Quote Line,,
EX-0230640,Project_Type_Multiplier__c,"IF(ISBLANK(Project_Type__c), 1,
IF(INCLUDES(Project_Type__c,""GB - Office Building""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Retail""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Industrial Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Warehouses""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Leisure/Other""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Medical Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Multi-family""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Hotel/Motel/Dormitories""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Government Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Educational Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Transportation""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Eng - Streets & Bridges""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Eng - Engineering Other""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Utilities - Public Works""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Utilities - Power Generation""),0.3,0)+
IF(INCLUDES(Project_Type__c,""H - Single Family""),0.3,0)


)",,EX-000013,,,,Quote Line,,
EX-0230641,SBQQ__ListPrice__c,"IF(SBQQ__RequiredBy__r.SBQQ__ProductCode__c = ""NETNP-WRAPPER"", 
SBQQ__Product__r.USD_News_and_Plans_Price__c,
SBQQ__Product__r.USD_News_Price_or_Plans_Price__c)",,EX-000008,,,,Quote Line,,
EX-0230642,History_or_Forecast_Multiplier__c,"IF(TEXT(History_or_Forecast__c) = ""History & Forecast"", 1.25, 1)",,EX-000013,,,,Quote Line,,
EX-0230643,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Multiple Ship To Addresses""",,EX-000024,,,,Quote Line,,
EX-0230644,Invoice_Description__c,"Invoice_Description__c & BR() & 
""Ad #: "" & Ad__c & BR() &

""Ad Caption: "" & Ad_Caption__c & BR() &

""Ad Size: "" & Ad_Inches__c & "" "" & Ad_Size__c & BR() &

""Issue Date: "" & Issue_Date_Text__c",,EX-000038,,,,Quote Line,,
EX-0230645,Invoice_Comments__c,"""Ad Caption: "" & Ad_Caption__c",,EX-000016,,,,Quote Line,,
EX-0230646,AVA_SFCPQ__Quote_AutomateTaxCalculation__c,,,EX-000015,,,,Quote,True,
EX-0230647,Project_Category_Multiplier__c,"IF(ISBLANK(TEXT(Project_Category__c)), 1, 0.8)",,EX-000013,,,,Quote Line,,
EX-0230648,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Media Invoice Descriptions""",,EX-000038,,,,Quote Line,,
